trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
455,False,"{'a': 0.20126211201681798, 'e': 0.025580788312007607}",25,8,28.911395199038076,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.200859990048793, 'e': 0.02538213204963491}",20,8,21.173631643538283,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.20045867152099606, 'e': 0.025184978645965583}",25,14,22.059708852327905,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.20005815482815248, 'e': 0.02498931734890253}",20,13,13.224005684425277,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.19965843836819494, 'e': 0.024795137473709206}",20,16,7.850788886328104,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'a': 0.19925952054225707, 'e': 0.024602428402739518}",25,5,31.889777995996646,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
461,False,"{'a': 0.19886139975466707, 'e': 0.024411179585164255}",20,14,10.640350739473563,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.19846407441294123, 'e': 0.024221380536697867}",25,20,9.698319890601216,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
463,False,"{'a': 0.19806754292777767, 'e': 0.02403302083932346}",30,23,13.422328425070283,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
464,False,"{'a': 0.1976718037130499, 'e': 0.02384609014101491}",25,11,25.260457249902068,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,False,"{'a': 0.19727685518580054, 'e': 0.023660578155461187}",25,8,31.76757512493615,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
466,False,"{'a': 0.196882695766235, 'e': 0.02347647466178493}",20,1,29.387355099698464,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.19648932387771498, 'e': 0.02329376950426343}",20,8,22.810297305802948,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.19609673794675248, 'e': 0.02311245259204764}",20,6,23.19279975637508,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
469,False,"{'a': 0.19570493640300324, 'e': 0.022932513898878293}",20,6,25.289517139424838,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.19531391767926054, 'e': 0.022753943462804127}",20,3,23.346415707492582,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
471,False,"{'a': 0.19492368021144899, 'e': 0.022576731385895554}",20,10,19.49277666398156,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'a': 0.19453422243861815, 'e': 0.022400867833961335}",20,4,25.076707181740527,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
473,False,"{'a': 0.19414554280293647, 'e': 0.022226343036260587}",20,8,22.811649657724793,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
474,False,"{'a': 0.19375763974968485, 'e': 0.022053147285217123}",20,10,19.21581226348348,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
475,False,"{'a': 0.1933705117272506, 'e': 0.02188127093613057}",25,11,-17.628303109773974,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
476,False,"{'a': 0.19298415718712106, 'e': 0.02171070440688838}",20,9,19.08071571426213,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
477,False,"{'a': 0.19259857458387758, 'e': 0.02154143817767651}",30,20,15.521243286662601,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
478,False,"{'a': 0.19221376237518925, 'e': 0.021373462790689635}",20,3,30.212983755505693,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
479,False,"{'a': 0.19182971902180668, 'e': 0.021206768849840296}",25,12,23.09196933072673,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
480,False,"{'a': 0.19144644298755603, 'e': 0.021041347020468337}",20,12,6.050168446212111,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
481,False,"{'a': 0.19106393273933253, 'e': 0.02087718802904892}",25,0,40.177079262045325,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
482,False,"{'a': 0.19068218674709478, 'e': 0.020714282662901207}",25,15,16.25085913999183,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
483,False,"{'a': 0.19030120348385823, 'e': 0.020552621769894808}",20,14,10.834499226176405,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
484,False,"{'a': 0.18992098142568936, 'e': 0.02039219625815858}",25,12,25.03009460095711,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
485,False,"{'a': 0.18954151905169941, 'e': 0.02023299709578541}",20,14,8.997282589548412,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
486,False,"{'a': 0.1891628148440384, 'e': 0.020075015310540567}",30,8,26.24600541457805,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
